"ID","pubYear","best_common","best_full","stat","bio","common_length","common_first_3","common_last_3","common_last_2"
30304689,2018,"10kip","10000 Immunomes Project","opaque","opaque",5,"10k","kip","ip"
33175170,2021,"2019ncovr","2019 Novel Coronavirus Resource","translucent","translucent",9,"201","ovr","vr"
24526713,2014,"3dgd","3D Genome Database","opaque","opaque",4,"3dg","dgd","gd"
33245777,2021,"3div","3D-genome Interaction Viewer and database","opaque","opaque",4,"3di","div","iv"
28413782,2017,"apmicrodb","database of Aphid Microsatellite Repeats","translucent","opaque",9,"apm","odb","db"
34174131,2021,"canvas","Greek Cancer Patient Genetic Variation Resource","opaque","opaque",6,"can","vas","as"
30215764,2019,"awesome","A Website Exhibits SNP On Modification Event","opaque","opaque",7,"awe","ome","me"
27242034,2016,"abasy","Across Bacteria Systems Atlas","opaque","opaque",5,"aba","asy","sy"
28365761,2017,"phagesdb","Actinobacteriophage Database","opaque","translucent",8,"pha","sdb","db"
27982098,2016,"arn","Adipogenesis Regulation Network","opaque","opaque",3,"arn","arn","rn"
25361966,2015,"adrecs","Adverse Drug Reaction Classification System","opaque","opaque",6,"adr","ecs","cs"
25516260,2014,"bioclock","Aedes aegypti Circadian Database","opaque","opaque",8,"bio","ock","ck"
32294195,2020,"asfvdb","African swine fever virus database","opaque","opaque",6,"asf","vdb","db"
20949389,2011,"acsr","AIDS and Cancer Specimen Resource","opaque","opaque",4,"acs","csr","sr"
26644461,2016,"alcodb","Algae Gene Coexpression database","opaque","opaque",6,"alc","odb","db"
28069893,2017,"alga-pras","Algal Protein Annotation Suite database","opaque","translucent",9,"alg","ras","as"
25414323,2015,"afnd","Allele Frequency Net Database","opaque","opaque",4,"afn","fnd","nd"
24888382,2014,"aair","Allergic Airway Inflammation Repository","opaque","opaque",4,"aai","air","ir"
31665428,2020,"asd","Allosteric Database","opaque","opaque",3,"asd","asd","sd"
22753137,2012,"alsod","ALS Online Database","opaque","opaque",5,"als","sod","od"
28160322,2017,"atlas","Altered TCR Ligand Affinities and Structures","translucent","opaque",5,"atl","las","as"
31501752,2019,"abcd","Alzheimer's disease Biomarkers Comprehensive Database","opaque","opaque",4,"abc","bcd","cd"
31094220,2019,"amyco","amyloidoses collection","opaque","opaque",5,"amy","yco","co"
32765587,2020,"abc-gwas","Analysis of Breast Cancer GWAS","translucent","translucent",8,"abc","was","as"
30893420,2019,"aybrah","Analyzing Yeasts by Reconstructing Ancestry of Homologs","opaque","opaque",6,"ayb","rah","ah"
33852582,2021,"alnc","Angiosperms long non-coding RNAs catalogue","opaque","opaque",4,"aln","lnc","nc"
34839012,2021,"aser","Animal Sex Reversal Database","opaque","opaque",4,"ase","ser","er"
30937442,2019,"asra","Animal sncRNA Atlas","opaque","opaque",4,"asr","sra","ra"
31036810,2019,"asnr","Animal Social Network Repository","opaque","opaque",4,"asn","snr","nr"
25262351,2015,"animaltfdb","Animal Transcription Factor DataBase","translucent","transparent",10,"ani","fdb","db"
26822210,2016,"asdb","Annotated Scaffold Database","opaque","opaque",4,"asd","sdb","db"
29321052,2018,"asgdb","Anopheles sinensis genome database","opaque","opaque",5,"asg","gdb","db"
33588073,2021,"asdb","Anopheles sinensis omics database","opaque","opaque",4,"asd","sdb","db"
23317704,2012,"amdd","anti microbial drug database","opaque","opaque",4,"amd","mdd","dd"
34497528,2021,"acnpd","anti-cancer natural product database","opaque","opaque",5,"acn","npd","pd"
31123286,2019,"aicd","Anti-Inflammatory Compounds Database","opaque","opaque",4,"aic","icd","cd"
31410491,2020,"abcd","AntiBodies Chemically Defined","opaque","opaque",4,"abc","bcd","cd"
26074488,2015,"cancerhsp","anticancer herbs database of systems pharmacology","translucent","translucent",9,"can","hsp","sp"
