"ID","pubYear","best_common","best_full","stat","bio","common_length","common_first_3","common_last_3","common_last_2","full_first","full_mid","full_last","full_word_count"
30304689,2018,"10kip","10000 immunomes project","opaque","opaque",5,"10k","kip","ip","10000","immunomes","project",3
33175170,2021,"2019ncovr","2019 novel coronavirus resource","translucent","translucent",9,"201","ovr","vr","2019","novel coronavirus","resource",4
24526713,2014,"3dgd","3d genome database","opaque","opaque",4,"3dg","dgd","gd","3d","genome","database",3
33245777,2021,"3div","3d-genome interaction viewer and database","opaque","opaque",4,"3di","div","iv","3d-genome","interaction viewer and","database",6
28413782,2017,"apmicrodb","database of aphid microsatellite repeats","translucent","opaque",9,"apm","odb","db","database","of aphid microsatellite","repeats",5
34174131,2021,"canvas","greek cancer patient genetic variation resource","opaque","opaque",6,"can","vas","as","greek","cancer patient genetic variation","resource",6
30215764,2019,"awesome","a website exhibits snp on modification event","opaque","opaque",7,"awe","ome","me","a","website exhibits snp on modification","event",7
27242034,2016,"abasy","across bacteria systems atlas","opaque","opaque",5,"aba","asy","sy","across","bacteria systems","atlas",4
28365761,2017,"phagesdb","actinobacteriophage database","opaque","translucent",8,"pha","sdb","db","actinobacteriophage","","database",2
27982098,2016,"arn","adipogenesis regulation network","opaque","opaque",3,"arn","arn","rn","adipogenesis","regulation","network",3
25361966,2015,"adrecs","adverse drug reaction classification system","opaque","opaque",6,"adr","ecs","cs","adverse","drug reaction classification","system",5
25516260,2014,"bioclock","aedes aegypti circadian database","opaque","opaque",8,"bio","ock","ck","aedes","aegypti circadian","database",4
32294195,2020,"asfvdb","african swine fever virus database","opaque","opaque",6,"asf","vdb","db","african","swine fever virus","database",5
20949389,2011,"acsr","aids and cancer specimen resource","opaque","opaque",4,"acs","csr","sr","aids","and cancer specimen","resource",5
26644461,2016,"alcodb","algae gene coexpression database","opaque","opaque",6,"alc","odb","db","algae","gene coexpression","database",4
28069893,2017,"alga-pras","algal protein annotation suite database","opaque","translucent",9,"alg","ras","as","algal","protein annotation suite","database",5
25414323,2015,"afnd","allele frequency net database","opaque","opaque",4,"afn","fnd","nd","allele","frequency net","database",4
24888382,2014,"aair","allergic airway inflammation repository","opaque","opaque",4,"aai","air","ir","allergic","airway inflammation","repository",4
31665428,2020,"asd","allosteric database","opaque","opaque",3,"asd","asd","sd","allosteric","","database",2
22753137,2012,"alsod","als online database","opaque","opaque",5,"als","sod","od","als","online","database",3
28160322,2017,"atlas","altered tcr ligand affinities and structures","translucent","opaque",5,"atl","las","as","altered","tcr ligand affinities and","structures",6
31501752,2019,"abcd","alzheimer's disease biomarkers comprehensive database","opaque","opaque",4,"abc","bcd","cd","alzheimer's","disease biomarkers comprehensive","database",6
31094220,2019,"amyco","amyloidoses collection","opaque","opaque",5,"amy","yco","co","amyloidoses","","collection",2
32765587,2020,"abc-gwas","analysis of breast cancer gwas","translucent","translucent",8,"abc","was","as","analysis","of breast cancer","gwas",5
30893420,2019,"aybrah","analyzing yeasts by reconstructing ancestry of homologs","opaque","opaque",6,"ayb","rah","ah","analyzing","yeasts by reconstructing ancestry of","homologs",7
33852582,2021,"alnc","angiosperms long non-coding rnas catalogue","opaque","opaque",4,"aln","lnc","nc","angiosperms","long non-coding rnas","catalogue",6
34839012,2021,"aser","animal sex reversal database","opaque","opaque",4,"ase","ser","er","animal","sex reversal","database",4
30937442,2019,"asra","animal sncrna atlas","opaque","opaque",4,"asr","sra","ra","animal","sncrna","atlas",3
31036810,2019,"asnr","animal social network repository","opaque","opaque",4,"asn","snr","nr","animal","social network","repository",4
25262351,2015,"animaltfdb","animal transcription factor database","translucent","transparent",10,"ani","fdb","db","animal","transcription factor","database",4
26822210,2016,"asdb","annotated scaffold database","opaque","opaque",4,"asd","sdb","db","annotated","scaffold","database",3
29321052,2018,"asgdb","anopheles sinensis genome database","opaque","opaque",5,"asg","gdb","db","anopheles","sinensis genome","database",4
33588073,2021,"asdb","anopheles sinensis omics database","opaque","opaque",4,"asd","sdb","db","anopheles","sinensis omics","database",4
23317704,2012,"amdd","anti microbial drug database","opaque","opaque",4,"amd","mdd","dd","anti","microbial drug","database",4
34497528,2021,"acnpd","anti-cancer natural product database","opaque","opaque",5,"acn","npd","pd","anti-cancer","natural product","database",5
31123286,2019,"aicd","anti-inflammatory compounds database","opaque","opaque",4,"aic","icd","cd","anti-inflammatory","compounds","database",4
31410491,2020,"abcd","antibodies chemically defined","opaque","opaque",4,"abc","bcd","cd","antibodies","chemically","defined",3
26074488,2015,"cancerhsp","anticancer herbs database of systems pharmacology","translucent","translucent",9,"can","hsp","sp","anticancer","herbs database of systems","pharmacology",6
24307774,2013,"diacan","antidiabetic and anticancer medicinal plants database","opaque","opaque",6,"dia","can","an","antidiabetic","and anticancer medicinal plants","database",6
24475134,2014,"asdcd","antifungal synergistic drug combination database","opaque","opaque",5,"asd","dcd","cd","antifungal","synergistic drug combination","database",5
25048123,2014,"agabdb","antigen-antibody interaction database","opaque","opaque",6,"aga","bdb","db","antigen-antibody","interaction","database",4
32584882,2020,"acd","antimicrobial chemotherapeutics database","opaque","opaque",3,"acd","acd","cd","antimicrobial","chemotherapeutics","database",3
34529321,2022,"apd","antimicrobial peptide database","opaque","opaque",3,"apd","apd","pd","antimicrobial","peptide","database",3
28784999,2017,"aod","antioxidant database","opaque","opaque",3,"aod","aod","od","antioxidant","","database",2
22084200,2012,"ah-db","apo-holo database","opaque","opaque",5,"ah-","-db","db","apo-holo","","database",3
34556150,2021,"aprgpd","apricot genomic and phenotypic database","opaque","opaque",6,"apr","gpd","pd","apricot","genomic and phenotypic","database",5
24272250,2014,"rarge ii","arabidopsis genome encyclopedia ii","opaque","opaque",8,"rar","ii","ii","arabidopsis","genome encyclopedia","ii",4
22345505,2012,"anap","arabidopsis network analysis pipeline","opaque","opaque",4,"ana","nap","ap","arabidopsis","network analysis","pipeline",4
31843802,2020,"asrd","arabidopsis small rna database","opaque","opaque",4,"asr","srd","rd","arabidopsis","small rna","database",4
33219693,2021,"atmad","arabidopsis thaliana multi-omics association database","opaque","opaque",5,"atm","mad","ad","arabidopsis","thaliana multi-omics association","database",6
22397531,2012,"atpan","arabidopsis thaliana promoter analysis net","opaque","opaque",5,"atp","pan","an","arabidopsis","thaliana promoter analysis","net",5
27899679,2017,"atpid","arabidopsis thaliana protein interactome database","opaque","opaque",5,"atp","pid","id","arabidopsis","thaliana protein interactome","database",5
23904744,2013,"asrdb","archaeal stress response database","opaque","opaque",5,"asr","rdb","db","archaeal","stress response","database",4
31347432,2020,"andb","areca nut database","opaque","opaque",4,"and","ndb","db","areca","nut","database",3
34738791,2021,"arocagedb","aromatic cage database","opaque","translucent",9,"aro","edb","db","aromatic","cage","database",3
34154536,2021,"teaas","as database for tea plants","opaque","translucent",5,"tea","aas","as","as","database for tea","plants",5
22080559,2012,"aspgd","aspergillus genome database","opaque","translucent",5,"asp","pgd","gd","aspergillus","genome","database",3
28779078,2017,"a2mdb","aspergillus secondary metabolites database","opaque","opaque",5,"a2m","mdb","db","aspergillus","secondary metabolites","database",4
22057158,2012,"aura","atlas of utr regulatory activity","opaque","opaque",4,"aur","ura","ra","atlas","of utr regulatory","activity",5
29077946,2018,"ared-plus","au-rich element database","opaque","opaque",9,"are","lus","us","au-rich","element","database",4
32291734,2020,"aelp","auditory english lexicon project","opaque","opaque",4,"ael","elp","lp","auditory","english lexicon","project",4
23774715,2014,"abide","autism brain imaging data exchange","opaque","opaque",5,"abi","ide","de","autism","brain imaging data","exchange",5
32449934,2020,"asap","automated single-cell analysis portal","opaque","opaque",4,"asa","sap","ap","automated","single-cell analysis","portal",5
32681639,2020,"atdb","autophagy and tumor database","opaque","opaque",4,"atd","tdb","db","autophagy","and tumor","database",4
25635527,2015,"arn","autophagy regulatory network","opaque","opaque",3,"arn","arn","rn","autophagy","regulatory","network",3
30669929,2019,"autophagysmdb","autophagy small molecule database","translucent","transparent",13,"aut","mdb","db","autophagy","small molecule","database",4
