"ID","pubYear","best_common","common_length","common_first_3","common_last_3","common_last_2","best_full","full_first","full_mid","full_last","full_word_count","stat","bio","optics_count"
30304689,2018,"10kip",5,"10k","kip","ip","10000 immunomes project","10000","immunomes","project",3,"opaque","opaque",1006
33175170,2021,"2019ncovr",9,"201","ovr","vr","2019 novel coronavirus resource","2019","novel coronavirus","resource",4,"translucent","translucent",17
24526713,2014,"3dgd",4,"3dg","dgd","gd","3d genome database","3d","genome","database",3,"opaque","opaque",1006
33245777,2021,"3div",4,"3di","div","iv","3d-genome interaction viewer and database","3d-genome","interaction viewer and","database",6,"opaque","opaque",1006
28413782,2017,"apmicrodb",9,"apm","odb","db","database of aphid microsatellite repeats","database","of aphid microsatellite","repeats",5,"translucent","opaque",6
34174131,2021,"canvas",6,"can","vas","as","greek cancer patient genetic variation resource","greek","cancer patient genetic variation","resource",6,"opaque","opaque",1006
30215764,2019,"awesome",7,"awe","ome","me","a website exhibits snp on modification event","a","website exhibits snp on modification","event",7,"opaque","opaque",1006
27242034,2016,"abasy",5,"aba","asy","sy","across bacteria systems atlas","across","bacteria systems","atlas",4,"opaque","opaque",1006
28365761,2017,"phagesdb",8,"pha","sdb","db","actinobacteriophage database","actinobacteriophage","","database",2,"opaque","translucent",94
27982098,2016,"arn",3,"arn","arn","rn","adipogenesis regulation network","adipogenesis","regulation","network",3,"opaque","opaque",1006
25361966,2015,"adrecs",6,"adr","ecs","cs","adverse drug reaction classification system","adverse","drug reaction classification","system",5,"opaque","opaque",1006
25516260,2014,"bioclock",8,"bio","ock","ck","aedes aegypti circadian database","aedes","aegypti circadian","database",4,"opaque","opaque",1006
32294195,2020,"asfvdb",6,"asf","vdb","db","african swine fever virus database","african","swine fever virus","database",5,"opaque","opaque",1006
20949389,2011,"acsr",4,"acs","csr","sr","aids and cancer specimen resource","aids","and cancer specimen","resource",5,"opaque","opaque",1006
26644461,2016,"alcodb",6,"alc","odb","db","algae gene coexpression database","algae","gene coexpression","database",4,"opaque","opaque",1006
28069893,2017,"alga-pras",9,"alg","ras","as","algal protein annotation suite database","algal","protein annotation suite","database",5,"opaque","translucent",94
25414323,2015,"afnd",4,"afn","fnd","nd","allele frequency net database","allele","frequency net","database",4,"opaque","opaque",1006
24888382,2014,"aair",4,"aai","air","ir","allergic airway inflammation repository","allergic","airway inflammation","repository",4,"opaque","opaque",1006
31665428,2020,"asd",3,"asd","asd","sd","allosteric database","allosteric","","database",2,"opaque","opaque",1006
22753137,2012,"alsod",5,"als","sod","od","als online database","als","online","database",3,"opaque","opaque",1006
28160322,2017,"atlas",5,"atl","las","as","altered tcr ligand affinities and structures","altered","tcr ligand affinities and","structures",6,"translucent","opaque",6
31501752,2019,"abcd",4,"abc","bcd","cd","alzheimer's disease biomarkers comprehensive database","alzheimer's","disease biomarkers comprehensive","database",6,"opaque","opaque",1006
31094220,2019,"amyco",5,"amy","yco","co","amyloidoses collection","amyloidoses","","collection",2,"opaque","opaque",1006
32765587,2020,"abc-gwas",8,"abc","was","as","analysis of breast cancer gwas","analysis","of breast cancer","gwas",5,"translucent","translucent",17
30893420,2019,"aybrah",6,"ayb","rah","ah","analyzing yeasts by reconstructing ancestry of homologs","analyzing","yeasts by reconstructing ancestry of","homologs",7,"opaque","opaque",1006
33852582,2021,"alnc",4,"aln","lnc","nc","angiosperms long non-coding rnas catalogue","angiosperms","long non-coding rnas","catalogue",6,"opaque","opaque",1006
34839012,2021,"aser",4,"ase","ser","er","animal sex reversal database","animal","sex reversal","database",4,"opaque","opaque",1006
30937442,2019,"asra",4,"asr","sra","ra","animal sncrna atlas","animal","sncrna","atlas",3,"opaque","opaque",1006
31036810,2019,"asnr",4,"asn","snr","nr","animal social network repository","animal","social network","repository",4,"opaque","opaque",1006
25262351,2015,"animaltfdb",10,"ani","fdb","db","animal transcription factor database","animal","transcription factor","database",4,"translucent","transparent",12
